IPv,source_address,dest_address,transport_protocol,packet_size,timestamp
6,fe80::10ac:145b:2909:2964,ff02::fb,17,214,1570208156.630333
4,10.0.0.141,10.0.0.255,17,92,1570208156.634289
4,64.4.54.254,10.0.0.130,6,1514,1570208156.947454
4,10.0.0.130,64.4.54.254,6,66,1570208156.952435
4,64.4.54.254,10.0.0.130,6,1514,1570208157.163872
4,10.0.0.130,64.4.54.254,6,66,1570208157.16987
4,10.0.0.130,64.4.54.254,6,147,1570208157.177864
4,64.4.54.254,10.0.0.130,6,105,1570208157.387278
4,10.0.0.130,64.4.54.254,6,1494,1570208157.394253
4,10.0.0.130,64.4.54.254,6,1494,1570208157.403238
4,10.0.0.130,64.4.54.254,6,343,1570208157.411209
4,10.0.0.141,10.0.0.255,17,92,1570208157.569787
4,64.4.54.254,10.0.0.130,6,54,1570208157.624637
4,64.4.54.254,10.0.0.130,6,369,1570208157.731383
4,10.0.0.130,64.4.54.254,6,54,1570208157.736596
4,10.0.0.130,64.4.54.254,6,85,1570208157.741326
4,10.0.0.130,64.4.54.254,6,54,1570208157.745345
4,10.0.0.141,10.0.0.255,17,92,1570208167.069539
4,10.0.0.141,10.0.0.255,17,92,1570208167.994902
4,10.0.0.141,10.0.0.255,17,92,1570208168.609291
4,10.0.0.141,10.0.0.255,17,92,1570208169.530832
4,10.0.0.141,10.0.0.255,17,92,1570208170.146148
4,10.0.0.130,64.4.54.254,6,66,1570208170.201004
4,64.4.54.254,10.0.0.130,6,66,1570208170.408056
4,10.0.0.130,64.4.54.254,6,54,1570208170.416035
4,10.0.0.130,64.4.54.254,6,255,1570208170.423015
4,64.4.54.254,10.0.0.130,6,1514,1570208170.683876
4,64.4.54.254,10.0.0.130,6,1514,1570208170.6899
4,64.4.54.254,10.0.0.130,6,772,1570208170.695884
4,10.0.0.130,64.4.54.254,6,54,1570208170.70187
4,10.0.0.130,64.4.54.254,6,147,1570208170.706817
4,64.4.54.254,10.0.0.130,6,105,1570208170.914259
4,10.0.0.130,64.4.54.254,6,1494,1570208170.91928
4,10.0.0.130,64.4.54.254,6,242,1570208170.922598
4,64.4.54.254,10.0.0.130,6,54,1570208171.127745
4,64.4.54.254,10.0.0.130,6,369,1570208171.234529
4,10.0.0.130,64.4.54.254,6,54,1570208171.238564
4,10.0.0.130,64.4.54.254,6,85,1570208171.243542
4,10.0.0.130,64.4.54.254,6,54,1570208171.247534
4,64.4.54.254,10.0.0.130,6,54,1570208171.453884
4,10.0.0.141,10.0.0.255,17,92,1570208171.662911
4,10.0.0.141,10.0.0.255,17,92,1570208195.65673
4,10.0.0.130,64.4.54.254,6,66,1570208196.325979
4,10.0.0.141,10.0.0.255,17,92,1570208196.583289
4,10.0.0.190,224.0.0.251,17,262,1570208196.588268
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208196.593254
4,64.4.54.254,10.0.0.130,6,66,1570208196.596247
4,10.0.0.130,64.4.54.254,6,54,1570208196.599257
4,10.0.0.130,64.4.54.254,6,255,1570208196.60223
4,10.0.0.190,224.0.0.251,17,112,1570208196.859511
6,fe80::10ac:145b:2909:2964,ff02::fb,17,132,1570208196.864501
4,10.0.0.130,64.4.54.254,6,255,1570208197.172703
4,10.0.0.141,10.0.0.255,17,92,1570208197.17799
4,64.4.54.254,10.0.0.130,6,1514,1570208197.334272
4,10.0.0.130,64.4.54.254,6,66,1570208197.338263
4,64.4.54.254,10.0.0.130,6,66,1570208197.392116
4,10.0.0.190,224.0.0.251,17,262,1570208197.500828
4,64.4.54.254,10.0.0.130,6,1514,1570208198.422332
4,10.0.0.130,64.4.54.254,6,66,1570208198.427318
4,64.4.54.254,10.0.0.130,6,1514,1570208198.686654
4,10.0.0.130,64.4.54.254,6,66,1570208198.689657
4,10.0.0.130,64.4.54.254,6,147,1570208198.693647
4,64.4.54.254,10.0.0.130,6,105,1570208198.899085
4,10.0.0.130,64.4.54.254,6,1168,1570208198.904076
4,64.4.54.254,10.0.0.130,6,54,1570208199.366806
4,64.4.54.254,10.0.0.130,6,369,1570208199.42166
4,10.0.0.130,64.4.54.254,6,54,1570208199.427644
4,10.0.0.130,64.4.54.254,6,85,1570208199.430637
4,10.0.0.130,64.4.54.254,6,54,1570208199.43395
4,10.0.0.190,224.0.0.251,17,130,1570208199.641095
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208199.646058
4,10.0.0.190,224.0.0.251,17,262,1570208199.65405
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208199.662019
4,64.4.54.254,10.0.0.130,6,54,1570208199.715904
4,64.4.54.254,10.0.0.130,6,54,1570208199.821618
4,10.0.0.190,224.0.0.251,17,130,1570208200.540787
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208200.545683
6,fe80::4a5a:b6ff:fe8e:3acc,ff02::1:2,17,163,1570208201.465227
4,10.0.0.190,224.0.0.251,17,247,1570208201.47021
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208201.476195
4,10.0.0.130,64.4.54.254,6,66,1570208201.68165
4,10.0.0.141,10.0.0.255,17,92,1570208201.789627
4,10.0.0.190,224.0.0.251,17,247,1570208201.799299
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208201.808279
4,64.4.54.254,10.0.0.130,6,66,1570208201.91472
4,10.0.0.130,64.4.54.254,6,54,1570208201.923695
4,10.0.0.130,64.4.54.254,6,255,1570208201.932671
4,10.0.0.190,224.0.0.251,17,247,1570208202.094122
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208202.105093
4,64.4.54.254,10.0.0.130,6,1514,1570208202.166247
4,64.4.54.254,10.0.0.130,6,1514,1570208202.176221
4,64.4.54.254,10.0.0.130,6,772,1570208202.184206
4,10.0.0.130,64.4.54.254,6,54,1570208202.191185
4,10.0.0.130,64.4.54.254,6,147,1570208202.196164
4,64.4.54.254,10.0.0.130,6,105,1570208202.352764
4,10.0.0.130,64.4.54.254,6,1494,1570208202.360722
4,10.0.0.130,64.4.54.254,6,460,1570208202.365708
4,10.0.0.190,224.0.0.251,17,368,1570208202.428573
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208202.442536
4,10.0.0.141,10.0.0.255,17,92,1570208202.449524
4,64.4.54.254,10.0.0.130,6,54,1570208202.607361
4,64.4.54.254,10.0.0.130,6,369,1570208202.712986
4,10.0.0.130,64.4.54.254,6,54,1570208202.716974
4,10.0.0.130,64.4.54.254,6,85,1570208202.721956
4,10.0.0.130,64.4.54.254,6,54,1570208202.726946
4,64.4.54.254,10.0.0.130,6,54,1570208202.934361
4,10.0.0.141,10.0.0.255,17,92,1570208203.347415
4,10.0.0.190,224.0.0.251,17,368,1570208203.356397
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208203.364425
4,10.0.0.190,224.0.0.251,17,130,1570208203.624532
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208203.633507
4,10.0.0.190,224.0.0.251,17,262,1570208203.645444
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208203.654466
4,10.0.0.190,224.0.0.251,17,368,1570208205.496628
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208205.509642
4,10.0.0.190,224.0.0.251,17,194,1570208207.33983
6,fe80::10ac:145b:2909:2964,ff02::fb,17,214,1570208207.346924
4,10.0.0.141,10.0.0.255,17,92,1570208210.703586
4,10.0.0.141,10.0.0.255,17,92,1570208211.313371
4,10.0.0.141,10.0.0.255,17,92,1570208212.234223
4,10.0.0.125,239.255.255.250,2,60,1570208213.454603
4,10.0.0.185,224.0.0.252,2,60,1570208213.766046
4,10.0.0.125,224.2.2.2,2,60,1570208215.907925
4,10.0.0.125,255.255.255.255,17,174,1570208216.52882
4,10.0.0.125,10.0.0.255,17,174,1570208216.532801
4,10.0.0.130,10.0.0.1,17,85,1570208216.790385
4,10.0.0.1,10.0.0.130,17,547,1570208216.80834
4,10.0.0.130,64.4.54.254,6,66,1570208216.813325
4,10.0.0.130,64.4.54.254,6,66,1570208216.870141
4,64.4.54.254,10.0.0.130,6,66,1570208217.080614
4,10.0.0.130,64.4.54.254,6,54,1570208217.088584
4,10.0.0.130,64.4.54.254,6,255,1570208217.094534
4,64.4.54.254,10.0.0.130,6,66,1570208217.099592
4,10.0.0.130,64.4.54.254,6,54,1570208217.107506
4,10.0.0.130,64.4.54.254,6,255,1570208217.113488
4,10.0.0.125,224.0.0.251,2,60,1570208217.17133
4,64.4.54.254,10.0.0.130,6,1514,1570208217.331903
4,64.4.54.254,10.0.0.130,6,1514,1570208217.340879
4,64.4.54.254,10.0.0.130,6,772,1570208217.346863
4,10.0.0.130,64.4.54.254,6,54,1570208217.35185
4,10.0.0.130,64.4.54.254,6,147,1570208217.357834
4,64.4.54.254,10.0.0.130,6,1514,1570208217.363817
4,64.4.54.254,10.0.0.130,6,1514,1570208217.370799
4,64.4.54.254,10.0.0.130,6,772,1570208217.377148
4,10.0.0.130,64.4.54.254,6,54,1570208217.381992
4,10.0.0.130,64.4.54.254,6,147,1570208217.387772
4,64.4.54.254,10.0.0.130,6,105,1570208217.59522
4,10.0.0.130,64.4.54.254,6,999,1570208217.602193
4,64.4.54.254,10.0.0.130,6,105,1570208217.609194
4,10.0.0.130,64.4.54.254,6,1494,1570208217.615183
4,10.0.0.130,64.4.54.254,6,113,1570208217.624124
4,64.4.54.254,10.0.0.130,6,54,1570208217.832376
4,64.4.54.254,10.0.0.130,6,54,1570208217.887348
4,64.4.54.254,10.0.0.130,6,368,1570208217.943253
4,10.0.0.130,64.4.54.254,6,54,1570208217.94852
4,64.4.54.254,10.0.0.130,6,369,1570208217.954175
4,10.0.0.130,64.4.54.254,6,54,1570208217.958167
4,10.0.0.130,64.4.54.254,6,85,1570208217.9612
4,10.0.0.130,64.4.54.254,6,54,1570208217.965172
4,10.0.0.130,64.4.54.254,6,85,1570208217.969194
4,10.0.0.130,64.4.54.254,6,54,1570208217.973127
4,10.0.0.141,10.0.0.255,17,92,1570208218.078834
4,10.0.0.130,64.4.54.254,6,85,1570208218.439975
4,10.0.0.130,64.4.54.254,6,85,1570208218.499087
4,64.4.54.254,10.0.0.130,6,369,1570208218.508066
4,10.0.0.130,64.4.54.254,6,66,1570208218.515003
4,64.4.54.254,10.0.0.130,6,368,1570208218.523028
4,10.0.0.130,64.4.54.254,6,66,1570208218.530011
4,64.4.54.254,10.0.0.130,6,54,1570208218.738267
4,10.0.0.130,64.4.54.254,6,85,1570208218.947708
4,64.4.54.254,10.0.0.130,6,54,1570208219.257878
4,10.0.0.125,239.255.255.250,17,215,1570208219.922332
4,10.0.0.125,239.255.255.250,17,215,1570208221.754234
4,10.0.0.141,10.0.0.255,17,92,1570208222.672857
4,10.0.0.125,239.255.255.250,17,215,1570208222.986137
4,10.0.0.141,10.0.0.255,17,92,1570208223.60221
4,10.0.0.1,239.255.255.250,17,272,1570208223.912399
4,10.0.0.1,239.255.255.250,17,344,1570208223.919379
4,10.0.0.1,239.255.255.250,17,340,1570208223.924368
4,10.0.0.1,239.255.255.250,17,320,1570208223.92935
4,10.0.0.1,239.255.255.250,17,352,1570208223.934342
4,10.0.0.1,239.255.255.250,17,334,1570208223.939327
4,10.0.0.1,239.255.255.250,17,336,1570208223.944276
4,10.0.0.141,10.0.0.255,17,92,1570208225.771397
4,10.0.0.141,10.0.0.255,17,92,1570208227.297799
4,0.0.0.0,224.0.0.1,2,46,1570208228.222013
6,::,ff02::1,0,86,1570208228.231562
4,10.0.0.130,224.0.0.251,2,46,1570208228.239579
4,10.0.0.190,224.0.0.251,17,112,1570208229.111552
6,fe80::10ac:145b:2909:2964,ff02::fb,17,132,1570208229.119531
4,10.0.0.190,224.0.0.251,17,262,1570208229.12751
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208229.136485
4,10.0.0.190,224.0.0.2,2,46,1570208229.143465
4,10.0.0.190,224.0.0.251,17,112,1570208230.060722
6,fe80::10ac:145b:2909:2964,ff02::fb,17,132,1570208230.070698
4,10.0.0.190,224.0.0.251,17,262,1570208230.082217
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208230.092639
4,10.0.0.190,224.0.0.251,17,130,1570208231.87729
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208231.887271
4,10.0.0.130,64.4.54.254,6,66,1570208232.047841
4,10.0.0.190,224.0.0.251,17,262,1570208232.210626
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208232.219413
4,64.4.54.254,10.0.0.130,6,66,1570208232.324311
4,10.0.0.130,64.4.54.254,6,54,1570208232.328335
4,10.0.0.130,64.4.54.254,6,255,1570208232.337485
4,64.4.54.254,10.0.0.130,6,1514,1570208232.596638
4,64.4.54.254,10.0.0.130,6,1514,1570208232.607659
4,64.4.54.254,10.0.0.130,6,772,1570208232.616156
4,10.0.0.130,64.4.54.254,6,54,1570208232.623602
4,10.0.0.130,64.4.54.254,6,147,1570208232.629641
4,10.0.0.190,224.0.0.251,17,130,1570208232.837537
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208232.844816
4,64.4.54.254,10.0.0.130,6,105,1570208232.850521
4,10.0.0.130,64.4.54.254,6,1494,1570208232.854506
4,10.0.0.130,64.4.54.254,6,1145,1570208232.859481
4,64.4.54.254,10.0.0.130,6,54,1570208233.066513
6,fe80::10ac:145b:2909:2964,ff02::fb,17,132,1570208233.122399
4,64.4.54.254,10.0.0.130,6,369,1570208233.128444
4,10.0.0.130,64.4.54.254,6,54,1570208233.134332
4,10.0.0.130,64.4.54.254,6,85,1570208233.138554
4,10.0.0.130,64.4.54.254,6,54,1570208233.14331
4,10.0.0.130,224.0.0.252,2,46,1570208233.254032
4,64.4.54.254,10.0.0.130,6,54,1570208233.411591
4,10.0.0.130,239.255.255.250,2,46,1570208233.721287
4,10.0.0.190,224.0.0.251,17,247,1570208234.033417
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208234.041392
4,10.0.0.190,224.0.0.251,17,247,1570208234.048412
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208234.055395
4,10.0.0.130,64.4.54.254,6,66,1570208234.212933
4,10.0.0.190,224.0.0.251,17,247,1570208234.374257
6,fe80::10ac:145b:2909:2964,ff02::fb,17,267,1570208234.383396
4,64.4.54.254,10.0.0.130,6,66,1570208234.489342
4,10.0.0.130,64.4.54.254,6,54,1570208234.49429
4,10.0.0.130,64.4.54.254,6,255,1570208234.499276
4,10.0.0.190,224.0.0.251,17,368,1570208234.659134
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208234.66588
4,64.4.54.254,10.0.0.130,6,1514,1570208234.72279
4,64.4.54.254,10.0.0.130,6,1514,1570208234.731766
